11,-6,-5,9,3,2,-10,12,-4,7,-1,-8
-6,5,4,-3,-2,1,8,-7,10,-9,12,-11
3,6,-1,10,7,-2,-5,9,-8,-4,-12,11
8,-11,7,-10,-9,12,-3,-1,5,4,2,-6
3,-11,-1,8,-9,-12,-10,-4,5,7,2,6
-11,12,9,-5,4,10,8,-7,-3,-6,1,-2
2,-1,-4,3,-9,-10,-8,7,5,6,-12,11
-2,1,-5,8,3,-12,-9,-4,7,-11,10,6
3,-7,-1,-11,8,12,2,-5,-10,9,4,-6
-7,12,5,9,-3,11,1,10,-4,-8,-6,-2
3,-12,-1,-11,6,-5,-9,-10,7,8,4,2
-12,-3,2,5,-4,11,10,9,-8,-7,-6,1
-2,1,-8,-11,6,-5,12,3,-10,9,4,-7
-2,1,4,-3,12,-7,6,-11,10,-9,8,-5
2,-1,-10,5,-4,-12,-11,-9,8,3,7,6
-5,12,4,-3,1,11,9,10,-7,-8,-6,-2
7,6,8,-11,-12,-2,-1,-3,-10,9,4,5
2,-1,-9,11,12,8,10,-6,3,-7,-4,-5
-2,1,-8,11,12,10,-9,3,7,-6,-4,-5
-9,-8,5,-7,-3,-10,4,2,1,6,-12,11
