-2,1,-9,10,12,7,-6,11,3,-4,-8,-5
5,-11,-7,-9,-1,8,3,-6,4,-12,2,10
8,-5,7,6,2,-4,-3,-1,-10,9,12,-11
6,11,-9,-8,-12,-1,-10,4,3,7,-2,5
11,6,-9,10,-12,-2,-8,7,3,-4,-1,5
-5,12,8,-6,1,4,9,-3,-7,-11,10,-2
2,-1,-10,6,-8,-4,-9,5,7,3,-12,11
-11,-12,4,-3,6,-5,8,-7,-10,9,1,2
-12,3,-2,-10,6,-5,-11,-9,8,4,7,1
-7,5,9,-8,-2,12,1,4,-3,-11,10,-6
2,-1,-9,8,7,-12,-5,-4,3,11,-10,6
-2,1,10,-11,-6,5,9,12,-7,-3,4,-8
11,-12,-4,3,6,-5,-9,10,7,-8,-1,2
11,-12,8,-7,6,-5,4,-3,-10,9,-1,2
-2,1,-10,7,-12,-11,-4,-9,8,3,6,5
12,-3,2,-6,11,4,10,9,-8,-7,-5,-1
-3,7,1,9,-11,-12,-2,-10,-4,8,5,6
12,3,-2,-5,4,11,10,-9,8,-7,-6,-1
12,-6,-8,-5,4,2,11,3,10,-9,-7,-1
-6,-8,5,9,-3,1,12,2,-4,11,-10,-7
