-2,1,-4,3,11,7,-6,12,-10,9,-5,-8
3,-11,-1,-7,-12,8,4,-6,10,-9,2,5
8,12,9,11,6,-5,-10,-1,-3,7,-4,-2
3,6,-1,-8,-11,-2,-9,4,7,-12,5,10
-11,5,-8,-6,-2,4,-12,3,10,-9,1,7
-7,-11,6,-9,8,-3,1,-5,4,-12,2,10
12,3,-2,7,-6,5,-4,11,-10,9,-8,-1
6,-5,-7,-9,2,-1,3,10,4,-8,-12,11
12,-5,8,-10,2,-11,-9,-3,7,4,6,-1
-2,1,10,9,-11,-12,8,-7,-4,-3,5,6
2,-1,-10,-8,12,11,-9,4,7,3,-6,-5
-11,-3,2,10,-7,-12,5,-9,8,-4,1,6
-3,-11,1,-10,9,12,-8,7,-5,4,2,-6
11,3,-2,-5,4,-12,9,10,-7,-8,-1,6
5,7,-9,6,-1,-4,-2,-10,3,8,12,-11
-5,-12,4,-3,1,11,10,9,-8,-7,-6,2
-12,5,7,8,-2,-11,-3,-4,-10,9,6,1
12,11,-6,-9,8,3,10,-5,4,-7,-2,-1
11,-6,-8,-9,10,2,12,3,4,-5,-1,-7
-6,-8,5,9,-3,1,11,2,-4,12,-7,-10
