-2,1,-5,10,3,9,-12,11,-6,-4,-8,7
-7,-11,5,-6,-3,4,1,12,10,-9,2,-8
3,7,-1,9,11,-12,-2,-10,-4,8,-5,6
6,8,4,-3,-7,-1,5,-2,10,-9,12,-11
11,3,-2,9,-7,-12,5,-10,-4,8,-1,6
-11,-3,2,-8,12,7,-6,4,10,-9,1,-5
-3,-11,1,9,-12,8,-10,-6,-4,7,2,5
3,11,-1,-7,10,-12,4,9,-8,-5,-2,6
8,6,-7,-9,12,-2,3,-1,4,11,-10,-5
5,12,4,-3,-1,-11,-9,10,7,-8,6,-2
-12,-7,-4,3,8,11,2,-5,-10,9,-6,1
7,12,6,-9,-8,-3,-1,5,4,-11,10,-2
8,-5,-4,3,2,-12,-11,-1,-10,9,7,6
7,-5,9,-8,2,-12,-1,4,-3,-11,10,6
-2,1,-10,5,-4,11,12,-9,8,3,-6,-7
2,-1,8,-10,9,-7,6,-3,-5,4,-12,11
-11,12,10,6,-9,-4,-8,7,5,-3,1,-2
11,-8,-7,-5,4,12,3,2,-10,9,-1,-6
12,-6,-8,-7,9,2,4,3,-5,-11,10,-1
-6,-12,-9,8,-10,1,11,-4,3,5,-7,2
