6,4,1,500
6,1,3,10
6,13,10,500
6,18,7,500
6,2,6,10
6,15,7,10
6,17,6,10
6,3,6,10
6,5,12,10
6,12,7,10
6,12,12,10
6,9,9,10
6,19,6,10
6,19,7,10
6,19,11,10
6,2,8,10
6,4,11,500
6,2,3,10
6,11,12,10
6,10,9,10
9,10,3,Inf
9,8,5,Inf
9,19,5,Inf
9,6,7,Inf
9,10,7,Inf
9,1,8,Inf
9,1,11,Inf
9,3,11,Inf
9,13,11,Inf
9,19,12,Inf
9,12,1,Inf
9,9,2,Inf
9,15,2,Inf
10,11,6,-1
10,16,1,-1
10,16,8,1
10,16,11,1
13,11,6,Inf
13,16,11,Inf
19,1,7,Inf
20,1,6,Inf
20,2,6,Inf
20,10,5,Inf
20,13,5,Inf
20,14,5,Inf
20,16,5,Inf
20,16,7,Inf
20,18,5,Inf
20,20,6,Inf
21,1,2,Inf
21,1,6,Inf
21,1,9,Inf
21,2,12,Inf
21,3,7,Inf
21,3,10,Inf
21,6,8,Inf
21,6,12,Inf
21,7,7,Inf
21,10,1,Inf
21,10,12,Inf
21,11,3,Inf
21,12,2,Inf
21,12,5,Inf
21,15,10,Inf
21,16,8,Inf
21,16,11,Inf
21,17,4,Inf
21,17,8,Inf
21,17,11,Inf
