-2,1,-9,10,11,7,-6,12,3,-4,-5,-8
5,-7,9,-6,-1,4,2,10,-3,-8,-12,11
8,3,-2,-11,6,-5,-9,-1,7,12,4,-10
3,-12,-1,6,-7,-4,5,-11,10,-9,8,2
-3,-12,1,6,-7,-4,5,9,-8,-11,10,2
-12,-3,2,-10,9,11,-8,7,-5,4,-6,1
12,5,-7,8,-2,-11,3,-4,10,-9,6,-1
-5,11,7,-6,1,4,-3,-9,8,-12,-2,10
3,-5,-1,-10,2,-11,-12,-9,8,4,6,7
5,-12,6,11,-1,-3,-8,7,-10,9,-4,2
-2,1,-9,-7,8,12,4,-5,3,-11,10,-6
2,-1,7,9,-10,-8,-3,6,-4,5,-12,11
-7,12,-8,-11,6,-5,1,3,-10,9,4,-2
-7,12,-5,-6,3,4,1,-11,10,-9,8,-2
2,-1,-10,7,-11,-12,-4,-9,8,3,5,6
-3,11,1,-6,12,4,9,10,-7,-8,-2,-5
-11,-3,2,8,-9,-12,-10,-4,5,7,1,6
12,-11,-8,-6,9,4,10,3,-5,-7,2,-1
11,3,-2,-8,9,10,12,4,-5,-6,-1,-7
-3,8,1,9,-6,5,11,-2,-4,12,-7,-10
