10,2,9,4,4,6,2,6,9,10,3
9,2,10,4,5,4,2,5,9,10,3
0,0,0,0,0,0,0,0,0,0,1
8,3,3,4,5,5,4,8,9,9,3
3,5,3,7,5,8,7,8,10,10,3
0,0,0,0,0,0,0,0,0,0,1
1,1,7,4,5,5,7,10,4,10,3
1,1,3,8,3,6,7,8,6,7,3
0,0,0,0,0,0,0,0,0,0,1
6,2,2,4,8,6,10,8,4,10,3
4,2,2,4,5,5,10,9,9,10,3
0,0,0,0,0,0,0,0,0,0,1
8,2,5,2,5,7,7,8,9,9,3
5,2,8,2,5,9,7,8,9,7,3
0,0,0,0,0,0,0,0,0,0,1
1,1,3,3,5,5,7,8,7,8,3
2,2,3,4,6,6,7,4,7,3,3
0,0,0,0,0,0,0,0,0,0,1
1,2,6,10,2,6,9,1,9,10,3
1,2,6,9,1,6,10,2,9,10,3
0,0,0,0,0,0,0,0,0,0,1
1,1,3,7,5,5,7,3,10,10,3
1,1,8,4,5,5,9,8,9,4,3
0,0,0,0,0,0,0,0,0,0,1
1,2,3,3,8,2,7,8,7,1,3
1,2,3,7,8,1,7,8,3,2,3
0,0,0,0,0,0,0,0,0,0,1
2,2,3,4,3,6,8,8,6,4,3
1,1,3,6,5,6,3,10,5,10,3
0,0,0,0,0,0,0,0,0,0,1
1,4,6,4,1,6,7,9,9,7,3
1,6,4,4,1,6,9,8,9,8,3
0,0,0,0,0,0,0,0,0,0,1
4,2,3,4,2,3,7,7,10,10,3
10,2,3,9,2,3,7,7,9,10,3
0,0,0,0,0,0,0,0,0,0,1
9,6,3,3,5,6,8,8,9,5,3
4,6,3,4,5,6,3,8,8,5,3
0,0,0,0,0,0,0,0,0,0,1
2,2,5,10,5,6,6,9,9,10,3
2,2,6,8,5,6,5,8,10,10,3
0,0,0,0,0,0,0,0,0,0,1
1,3,3,4,4,1,7,8,7,8,3
1,7,3,4,4,1,7,3,9,9,3
0,0,0,0,0,0,0,0,0,0,1
1,9,1,5,5,6,10,6,9,10,3
1,10,1,4,6,6,7,4,7,10,3
