10,-7,9,-5,4,-8,2,6,-3,-1
9,-7,10,-6,-8,4,2,5,-1,-3
8,3,-2,-7,-6,5,4,-1,-10,9
3,5,-1,7,-2,8,-4,-6,10,-9
-2,1,7,-9,-6,5,-3,10,4,-8
-2,1,-5,8,3,-9,-10,-4,6,7
6,-3,2,-9,8,-1,10,-5,4,-7
4,-3,2,-1,-6,5,10,9,-8,-7
8,-4,5,2,-3,7,-6,-1,-10,9
5,-4,8,2,-1,9,-10,-3,-6,7
-2,1,-4,3,-6,5,-9,-10,7,8
2,-1,-10,-8,6,-5,-9,4,7,3
-8,-5,6,10,2,-3,9,1,-7,-4
-5,-8,6,9,1,-3,10,2,-4,-7
-2,1,-8,7,-6,5,-4,3,10,-9
-2,1,8,-10,-6,5,9,-3,-7,4
-10,-6,-4,3,8,2,-9,-5,7,1
-6,-10,-9,7,8,1,-4,-5,3,2
2,-1,-5,-10,3,-9,8,-7,6,4
-2,1,-7,6,-9,-4,3,10,5,-8
-5,4,6,-2,1,-3,-10,9,-8,7
-5,6,4,-3,1,-2,9,-10,-7,8
4,-5,-6,-1,2,3,-8,7,10,-9
10,-5,-6,9,2,3,-8,7,-4,-1
9,6,-4,3,-10,-2,8,-7,-1,5
4,6,-7,-1,-10,-2,3,-9,8,5
2,-1,5,10,-3,-7,6,9,-8,-4
2,-1,6,8,-7,-3,5,-4,10,-9
-6,3,-2,-5,4,1,-9,-10,7,8
-6,7,-8,-5,4,1,-2,3,-10,9
-3,9,1,5,-4,-8,10,6,-2,-7
-3,10,1,-8,6,-5,-9,4,7,-2
