-7,-10,-4,3,12,9,1,11,-6,2,-8,-5
-10,-7,5,-6,-3,4,2,-9,8,1,12,-11
7,11,-5,9,3,-12,-1,10,-4,-8,-2,6
8,6,4,-3,-10,-2,-9,-1,7,5,-12,11
5,11,-9,-10,-1,12,8,-7,3,4,-2,-6
12,-3,2,-5,4,-11,10,9,-8,-7,6,-1
-3,7,1,5,-4,8,-2,-6,-10,9,-12,11
2,-1,-5,11,3,12,-8,7,10,-9,-4,-6
-2,1,-5,-11,3,-12,-9,10,7,-8,4,6
2,-1,4,-3,-9,-11,10,12,5,-7,6,-8
-12,11,-6,8,9,3,-10,-4,-5,7,-2,1
5,-12,4,-3,-1,-11,8,-7,10,-9,6,2
-2,1,-8,-5,4,-10,9,3,-7,6,12,-11
2,-1,7,11,6,-5,-3,-9,8,12,-4,-10
-2,1,-6,9,-11,3,-8,7,-4,-12,5,10
12,-5,6,-7,2,-3,4,-9,8,11,-10,-1
5,-11,7,9,-1,-12,-3,10,-4,-8,2,6
-11,3,-2,-7,8,12,4,-5,10,-9,1,-6
-11,3,-2,-5,4,12,9,10,-7,-8,1,-6
-6,8,-4,3,-10,1,-9,-2,7,5,-12,11
