2,-1,-4,3,9,7,-6,12,-5,-11,10,-8
-2,1,9,5,-4,8,12,-6,-3,11,-10,-7
3,-7,-1,-9,6,-5,2,11,4,-12,-8,10
7,3,-2,-11,-8,12,-1,5,-10,9,4,-6
7,8,-4,3,-11,-12,-1,-2,10,-9,5,6
-5,7,8,9,1,11,-2,-3,-4,12,-6,-10
6,-12,-9,-8,-7,-1,5,4,3,-11,10,2
-12,3,-2,8,9,-11,10,-4,-5,-7,6,1
-12,8,7,-5,4,11,-3,-2,10,-9,-6,1
-6,5,9,11,-2,1,-8,7,-3,12,-4,-10
6,-11,-5,-9,3,-1,8,-7,4,-12,2,10
-11,12,4,-3,-6,5,-10,9,-8,7,1,-2
2,-1,8,-7,11,-12,4,-3,10,-9,-5,6
2,-1,-7,9,6,-5,3,-10,-4,8,-12,11
-2,1,-9,7,-11,12,-4,10,3,-8,5,-6
6,-3,2,-10,8,-1,9,-5,-7,4,-12,11
-3,7,1,10,-6,5,-2,-9,8,-4,12,-11
2,-1,-4,3,8,-12,-9,-5,7,11,-10,6
2,-1,-8,-7,9,-10,4,3,-5,6,12,-11
-8,-10,5,-9,-3,-12,11,1,4,2,-7,6
