3,Inf,11,Inf
4,Inf,11,Inf
5,Inf,2,11
5,Inf,2,12
5,Inf,7,6
5,Inf,7,11
5,Inf,7,12
5,Inf,12,1
5,Inf,6,1
5,Inf,6,2
5,Inf,4,10
5,Inf,5,8
6,12,2,101
6,5,8,101
6,10,1,101
6,11,4,101
6,5,2,101
6,15,7,101
6,10,4,101
6,16,1,101
6,14,2,101
6,1,6,10
6,12,11,10
6,6,2,101
6,7,1,10
6,17,9,10
6,11,1,101
6,19,10,101
6,11,11,10
6,16,8,10
6,19,12,10
6,19,6,10
6,13,12,500
6,18,9,500
9,11,4,Inf
9,13,5,Inf
9,15,7,Inf
9,5,8,Inf
9,20,10,Inf
9,3,11,Inf
9,7,12,Inf
10,3,10,1
10,6,1,-1
10,14,1,-1
10,14,11,1
10,17,1,1
13,14,11,Inf
13,17,11,Inf
19,1,7,Inf
19,5,7,Inf
19,8,3,Inf
20,10,5,Inf
20,15,5,Inf
9,1,9,Inf
9,1,12,Inf
9,4,1,Inf
9,4,3,Inf
9,4,5,Inf
9,7,2,Inf
9,8,2,Inf
9,8,4,Inf
9,8,10,Inf
9,8,11,Inf
9,8,12,Inf
9,13,6,Inf
9,13,8,Inf
9,14,11,Inf
9,16,6,Inf
9,17,1,Inf
9,19,1,Inf
9,19,2,Inf
