-7,-8,-5,9,3,10,1,2,-4,-6
-8,-7,-6,5,-4,3,2,1,10,-9
2,-1,8,-10,6,-5,-9,-3,7,4
-6,3,-2,10,-8,1,9,5,-7,-4
-6,3,-2,7,-8,1,-4,5,-10,9
10,9,4,-3,6,-5,8,-7,-2,-1
-2,1,7,6,-9,-4,-3,-10,5,8
3,-6,-1,-5,4,2,-10,9,-8,7
7,-6,-10,-5,4,2,-1,9,-8,3
8,5,6,-7,-2,-3,4,-1,10,-9
9,6,-4,3,7,-2,-5,-10,-1,8
-2,1,-8,-9,-6,5,10,3,4,-7
6,-5,9,-10,2,-1,-8,7,-3,4
6,-5,10,-7,2,-1,4,9,-8,-3
5,-4,-6,2,-1,3,-10,-9,8,7
-4,-3,2,1,6,-5,9,10,-7,-8
-3,7,1,-8,-10,-9,-2,4,6,5
-5,10,-9,-6,1,4,8,-7,3,-2
-5,4,-7,-2,1,10,3,-9,8,-6
2,-1,5,8,-3,7,-6,-4,-10,9
