value,timestamp
0.009054950096494166,00:00:00
0.008699276406690402,00:00:01
0.009182709091003601,00:00:02
0.008466665488845075,00:00:03
0.006955470544830182,00:00:04
0.002901676972028435,00:00:05
0.015286880813298716,00:00:06
0.013638117263757493,00:00:07
0.023161600991727652,00:00:08
0.023912091820875885,00:00:09
0.027322256701268283,00:00:10
0.0010622599728879677,00:00:11
0.007251257821923053,00:00:12
0.008663395927694884,00:00:13
0.008621976064105,00:00:14
0.021847013583096417,00:00:15
0.017903715654857755,00:00:16
0.011284876926666085,00:00:17
0.0013936277300628098,00:00:18
0.012466582310320648,00:00:19
0.012293365466787375,00:00:20
0.025537787257317354,00:00:21
0.010762030953774468,00:00:22
0.020659547096923525,00:00:23
0.012598530321033467,00:00:24
0.02824220142357888,00:00:25
0.025667476239396803,00:00:26
0.0026560175074724275,00:00:27
0.024046831958700943,00:00:28
0.028336166064766053,00:00:29
0.01406427755876572,00:00:30
0.029055858208801896,00:00:31
0.010396412001262734,00:00:32
0.037326524888475744,00:00:33
0.009743771600360928,00:00:34
0.01879317257011171,00:00:35
0.0211757573182165,00:00:36
0.009635499999999991,00:00:37
0.018510626009133238,00:00:38
0.02032022106794118,00:00:39
0.04302502245496218,00:00:40
