2,-1,-10,6,9,-4,-11,12,-5,3,7,-8
-2,1,-7,-10,-9,12,3,-11,5,4,8,-6
11,-12,7,10,6,-5,-3,9,-8,-4,-1,2
-12,3,-2,-6,-11,4,-9,-10,7,8,5,1
-12,5,-8,-11,-2,7,-6,3,-10,9,4,1
-3,12,1,-7,11,8,4,-6,10,-9,-5,-2
7,-3,2,6,-10,-4,-1,9,-8,5,-12,11
8,3,-2,-7,6,-5,4,-1,10,-9,12,-11
3,8,-1,-5,4,-7,6,-2,10,-9,12,-11
-12,5,8,-7,-2,11,4,-3,-10,9,-6,1
-11,-12,-9,6,7,-4,-5,10,3,-8,1,2
12,-11,5,-6,-3,4,8,-7,-10,9,2,-1
6,11,-5,-8,3,-1,-9,4,7,-12,-2,10
11,6,-4,3,8,-2,-12,-5,10,-9,-1,7
-12,3,-2,9,-8,-11,-10,5,-4,7,6,1
12,-7,4,-3,10,11,2,-9,8,-5,-6,-1
5,7,9,8,-1,-12,-2,-4,-3,-11,10,6
-7,-5,-8,9,2,12,1,3,-4,11,-10,-6
-8,-6,-5,-9,3,2,11,1,4,12,-7,-10
-6,-8,10,5,-4,1,12,2,11,-3,-9,-7
