-8,-7,-4,3,12,11,2,1,10,-9,-6,-5
-7,-8,4,-3,-6,5,1,2,-10,9,12,-11
11,7,-5,10,3,-12,-2,-9,8,-4,-1,6
6,4,5,-2,-3,-1,-10,9,-8,7,-12,11
5,3,-2,-6,-1,4,-10,9,-8,7,12,-11
12,-3,2,-5,4,-11,8,-7,10,-9,6,-1
-3,7,1,9,-12,11,-2,-10,-4,8,-6,5
2,-1,-9,-8,6,-5,-10,4,3,7,12,-11
-2,1,-9,-5,4,-8,10,6,3,-7,-12,11
2,-1,9,6,-11,-4,8,-7,-3,12,5,-10
-12,7,-5,-9,3,11,-2,10,4,-8,-6,1
11,-12,6,5,-4,-3,9,-10,-7,8,-1,2
-2,1,-7,-6,12,4,3,9,-8,-11,10,-5
2,-1,7,6,12,-4,-3,-11,-10,9,8,-5
-2,1,-9,-11,-6,5,-8,7,3,-12,4,10
11,-5,8,6,2,-4,9,-3,-7,12,-1,-10
5,-11,4,-3,-1,-12,-8,7,10,-9,2,6
-11,3,-2,9,8,12,10,-5,-4,-7,1,-6
-11,4,-5,-2,3,12,10,9,-8,-7,1,-6
-6,11,-10,5,-4,1,-9,-12,7,3,-2,8
