-11,-4,-5,2,3,7,-6,12,-10,9,1,-8
3,-11,-1,5,-4,8,9,-6,-7,-12,2,10
7,12,6,-9,10,-3,-1,11,4,-5,-8,-2
-2,1,-7,-8,-11,-12,3,4,-10,9,5,6
-2,1,-4,3,-6,5,8,-7,-10,9,-12,11
2,-1,7,6,8,-4,-3,-5,10,-9,12,-11
-12,3,-2,-10,-8,11,9,5,-7,4,-6,1
12,8,-7,-5,4,-11,3,-2,10,-9,6,-1
12,8,4,-3,7,-11,-5,-2,10,-9,6,-1
11,5,8,9,-2,-12,-10,-3,-4,7,-1,6
-5,-7,-9,-6,1,4,2,10,3,-8,12,-11
-7,12,5,6,-3,-4,1,-9,8,11,-10,-2
2,-1,4,-3,9,11,-8,7,-5,-12,-6,10
2,-1,-8,-12,7,-11,-5,3,-10,9,6,4
-2,1,-6,10,-11,3,-12,-9,8,-4,5,7
12,-3,2,-7,6,-5,4,9,-8,11,-10,-1
-3,5,1,8,-2,-12,-9,-4,7,-11,10,6
2,-1,-9,7,11,12,-4,-10,3,8,-5,-6
2,-1,-8,-9,11,12,10,3,4,-7,-5,-6
-8,-6,9,-10,-12,2,11,1,-3,4,-7,5
